date,genre,percentage_in_year,decade
2004,reggae,0.013262599469496022,00s
2005,reggae,0.009523809523809525,00s
2006,reggae,0.01327433628318584,00s
2007,reggae,0.002277904328018223,00s
2008,reggae,0.002079002079002079,00s
2009,reggae,0.001953125,00s
2010,reggae,0.005405405405405406,10s
2011,reggae,0.0017605633802816902,10s
2012,reggae,0.0,10s
2013,reggae,0.0041928721174004195,10s
2014,reggae,0.006772009029345372,10s
2015,reggae,0.006237006237006237,10s
2016,reggae,0.00392156862745098,10s
2017,reggae,0.005555555555555556,10s
2018,reggae,0.004398826979472141,10s
2019,reggae,0.014802631578947368,10s
1960,rock,0.3974358974358974,60s
1961,rock,0.3498452012383901,60s
1962,rock,0.31357254290171604,60s
1963,rock,0.30990415335463256,60s
1964,rock,0.36623748211731044,60s
1965,rock,0.42052023121387283,60s
1966,rock,0.4264099037138927,60s
1967,rock,0.4068965517241379,60s
1968,rock,0.3564954682779456,60s
1969,rock,0.355359765051395,60s
1970,rock,0.3590551181102362,70s
1971,rock,0.3817891373801917,70s
1972,rock,0.4369885433715221,70s
1973,rock,0.44220183486238535,70s
1974,rock,0.43119266055045874,70s
1975,rock,0.4461805555555556,70s
1976,rock,0.5036101083032491,70s
1977,rock,0.5430711610486891,70s
1978,rock,0.5861386138613861,70s
1979,rock,0.551660516605166,70s
1980,rock,0.6284584980237155,80s
1981,rock,0.6237006237006237,80s
1982,rock,0.6751968503937008,80s
1983,rock,0.6847195357833655,80s
1984,rock,0.6500994035785288,80s
1985,rock,0.625,80s
1986,rock,0.6179039301310044,80s
1987,rock,0.5969162995594713,80s
1988,rock,0.5673913043478261,80s
1989,rock,0.5577342047930284,80s
1990,rock,0.4551569506726457,90s
1991,rock,0.3854625550660793,90s
1992,rock,0.36556603773584906,90s
1993,rock,0.2955665024630542,90s
1994,rock,0.3148614609571788,90s
1995,rock,0.3,90s
1996,rock,0.28611898016997167,90s
1997,rock,0.2077922077922078,90s
1998,rock,0.25176470588235295,90s
1999,rock,0.28354430379746837,90s
2000,rock,0.22391857506361323,00s
2001,rock,0.22972972972972974,00s
2002,rock,0.2689295039164491,00s
2003,rock,0.28720626631853785,00s
2004,rock,0.2917771883289125,00s
2005,rock,0.33095238095238094,00s
2006,rock,0.33849557522123896,00s
2007,rock,0.3211845102505695,00s
2008,rock,0.2972972972972973,00s
2009,rock,0.279296875,00s
2010,rock,0.19099099099099098,10s
2011,rock,0.1954225352112676,10s
2012,rock,0.23385300668151449,10s
2013,rock,0.22851153039832284,10s
2014,rock,0.23927765237020315,10s
2015,rock,0.15384615384615385,10s
2016,rock,0.13725490196078433,10s
2017,rock,0.10185185185185185,10s
2018,rock,0.07771260997067449,10s
2019,rock,0.07236842105263158,10s
1960,world,0.0,60s
1961,world,0.0,60s
1962,world,0.0,60s
1963,world,0.001597444089456869,60s
1964,world,0.0,60s
1965,world,0.0,60s
1966,world,0.0,60s
1967,world,0.001379310344827586,60s
1968,world,0.0015105740181268882,60s
1969,world,0.0014684287812041115,60s
1970,world,0.0,70s
1971,world,0.0,70s
1972,world,0.0,70s
1973,world,0.003669724770642202,70s
1974,world,0.0,70s
1975,world,0.0,70s
1976,world,0.0,70s
1977,world,0.0,70s
1978,world,0.0,70s
1979,world,0.0018450184501845018,70s
1980,world,0.0,80s
1981,world,0.0,80s
1982,world,0.0,80s
1983,world,0.0,80s
1984,world,0.0,80s
1985,world,0.00211864406779661,80s
1986,world,0.004366812227074236,80s
1987,world,0.0,80s
1988,world,0.0,80s
1989,world,0.0,80s
1990,world,0.0,90s
1991,world,0.006607929515418502,90s
1992,world,0.0023584905660377358,90s
1993,world,0.0049261083743842365,90s
1994,world,0.0,90s
1995,world,0.0,90s
1996,world,0.0,90s
1997,world,0.0,90s
1998,world,0.004705882352941176,90s
1999,world,0.0,90s
2000,world,0.0,00s
2001,world,0.0,00s
2002,world,0.0,00s
2003,world,0.0,00s
2004,world,0.0,00s
2005,world,0.0,00s
2006,world,0.0,00s
2007,world,0.0,00s
2008,world,0.0,00s
2009,world,0.0,00s
2010,world,0.0,10s
2011,world,0.0,10s
2012,world,0.0,10s
2013,world,0.0,10s
2014,world,0.002257336343115124,10s
2015,world,0.0,10s
2016,world,0.0,10s
2017,world,0.0,10s
2018,world,0.0,10s
2019,world,0.001644736842105263,10s
1960,country,0.04395604395604396,60s
1961,country,0.030959752321981424,60s
1962,country,0.031201248049921998,60s
1963,country,0.025559105431309903,60s
1964,country,0.027181688125894134,60s
1965,country,0.06647398843930635,60s
1966,country,0.08665749656121045,60s
1967,country,0.08,60s
1968,country,0.09516616314199396,60s
1969,country,0.12922173274596183,60s
